date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:10	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Mar%202021%2020:42:10%20GMT	https://www.3668a.vip/robots.txt		(from )
16:42:10	16226/16226	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Mar%202021%2020:42:11%20GMT	https://www.3668a.vip/	/root/Desktop/redhat/redhat/www.3668a.vip/index.html	(from )
16:42:10	5509/5509	---M--	200	added ('OK')	image/png	etag:%22601af339-1585%22	https://www.3668a.vip/assets/images/account.png	/root/Desktop/redhat/redhat/www.3668a.vip/assets/images/account.png	(from https://www.3668a.vip/)
16:42:11	3599/3599	---M--	200	added ('OK')	image/png	etag:%22601af339-e0f%22	https://www.3668a.vip/assets/images/pwd.png	/root/Desktop/redhat/redhat/www.3668a.vip/assets/images/pwd.png	(from https://www.3668a.vip/)
16:42:12	6044/6044	---M--	200	added ('OK')	image/png	etag:%22601af339-179c%22	https://www.3668a.vip/assets/images/name.png	/root/Desktop/redhat/redhat/www.3668a.vip/assets/images/name.png	(from https://www.3668a.vip/)
16:42:14	1118/1118	---M--	200	added ('OK')	image/png	etag:%22601af339-45e%22	https://www.3668a.vip/assets/images/close.png	/root/Desktop/redhat/redhat/www.3668a.vip/assets/images/close.png	(from https://www.3668a.vip/)
16:42:15	93636/93636	---MCZ	200	added ('OK')	application/javascript	etag:W/%22601af339-16dc4%22	https://www.3668a.vip/assets/js/jquery.min.js	/root/Desktop/redhat/redhat/www.3668a.vip/assets/js/jquery.min.js	(from https://www.3668a.vip/)
16:42:16	19714/19714	---M--	200	added ('OK')	image/png	etag:%22601af339-4d02%22	https://www.3668a.vip/assets/images/logo4.png	/root/Desktop/redhat/redhat/www.3668a.vip/assets/images/logo4.png	(from https://www.3668a.vip/)
16:42:18	168562/168562	---M--	200	added ('OK')	image/jpeg	etag:%22601af339-29272%22	https://www.3668a.vip/assets/images/bg4.jpg	/root/Desktop/redhat/redhat/www.3668a.vip/assets/images/bg4.jpg	(from https://www.3668a.vip/)
16:42:18	38033/38033	---M--	200	added ('OK')	image/png	etag:%22601af339-9491%22	https://www.3668a.vip/assets/images/msg4.png	/root/Desktop/redhat/redhat/www.3668a.vip/assets/images/msg4.png	(from https://www.3668a.vip/)
16:42:19	10427/10427	---M--	200	added ('OK')	image/png	etag:%22601af339-28bb%22	https://www.3668a.vip/assets/images/qr/qr.png	/root/Desktop/redhat/redhat/www.3668a.vip/assets/images/qr/qr.png	(from https://www.3668a.vip/)
16:42:19	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2030%20Mar%202021%2020:42:20%20GMT	https://www.3668a.vip/select_down.php	/root/Desktop/redhat/redhat/www.3668a.vip/select_down.php	(from https://www.3668a.vip/)
16:42:20	16732/16732	---M--	200	added ('OK')	image/png	etag:%22601af339-415c%22	https://www.3668a.vip/assets/images/btn-download4.png	/root/Desktop/redhat/redhat/www.3668a.vip/assets/images/btn-download4.png	(from https://www.3668a.vip/)
16:42:21	4040/4040	---M--	200	added ('OK')	image/png	etag:%22601af339-fc8%22	https://www.3668a.vip/assets/images/btn-open4.png	/root/Desktop/redhat/redhat/www.3668a.vip/assets/images/btn-open4.png	(from https://www.3668a.vip/)
16:42:23	406626/406626	---M--	200	added ('OK')	image/png	etag:%22601af339-63462%22	https://www.3668a.vip/assets/images/icons4.png	/root/Desktop/redhat/redhat/www.3668a.vip/assets/images/icons4.png	(from https://www.3668a.vip/)
